Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
4chan-b-2015-07-entire_month.txt,1,10562340,51.65,55.08,24.8,18.05,14.7,13.73,78.65,45.29,14.76,9.57,4.04,0.48,2.92,1.48,0.65,5.19,4.99,9.73,8.37,4.93,4.84,2.19,15.91,4.73,2.06,1.43,2.27,1.95,6.96,3.2,3.73,0.2,2.4,0.39,10.1,0.38,0.5,1.39,1.24,10.42,1.72,1.49,1.54,2.65,1.4,3.08,2.57,1.28,0.52,0.59,4.52,1.87,0.62,1.79,0.62,6.23,1.57,1.09,2.2,1.57,0.46,2.65,11.53,1.11,11.1,1.91,5.52,3.72,1.17,1.1,0.28,0.54,0.44,0.42,5.37,2.92,1.71,0.4,0.28,0.06,21.51,6.4,3.19,0.33,0.27,1.52,0.8,0.55,0.65,2.72,0.42,4.66
4chan-b-2019-06-cleaned.txt,1,5075109,54.58,58.43,14.17,30.66,18.56,12.09,73.46,42.3,14.01,9.23,3.67,0.43,2.53,1.92,0.67,4.77,4.39,9.11,7.62,4.58,4.76,1.88,14.54,4.87,2.2,1.39,1.66,2.2,6.51,3.38,3.09,0.19,1.82,0.35,10.11,0.45,0.49,2.09,0.94,10.18,1.66,1.41,1.66,2.64,1.37,2.86,2.51,1.29,0.42,0.62,4.24,1.85,0.54,1.96,0.45,5.92,1.65,1.02,1.93,1.44,0.45,2.54,10.37,1.02,9.95,1.49,5.02,3.41,1.13,0.74,0.24,0.47,0.33,0.27,4.81,2.53,1.61,0.41,0.24,0.05,48.46,5.19,2.59,0.16,0.31,1.6,0.6,0.49,0.56,2.15,0.33,34.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4chan-a-2015-07-entire_month.txt,1,15809201,48.27,52.06,19.34,31.51,13.73,15.63,80.94,50.35,14.18,8.01,2.71,0.32,1.62,2.4,0.96,6.15,6.16,10.96,9.86,6.26,5.82,2.56,17.21,5.24,2.86,1.78,1.84,2.46,6.83,3.56,3.23,0.2,1.83,0.37,9.39,0.26,0.29,1.65,1.61,13.27,2.17,2,1.85,3.19,1.71,4.08,2.47,1.32,0.53,0.44,2.67,1.2,0.34,0.85,0.33,5.93,1.14,1.38,2.22,1.55,0.56,3.27,11.75,1.28,11.09,1.37,5.49,4.32,1.2,0.95,0.17,0.38,0.31,0.38,2.7,1.48,0.62,0.32,0.23,0.05,20.11,6.38,3.07,0.19,0.34,1.39,0.28,0.67,0.63,3.6,0.38,3.18
4chan-a-2019-06-cleaned.txt,1,14089997,56.44,55.62,11.16,28.41,19.14,15.06,74.2,45.92,12.6,7.16,2.17,0.29,1.39,2.44,0.87,5.43,5.74,10.18,8.83,5.62,5.37,2.18,15.46,4.9,2.61,1.67,1.62,2.28,6.43,3.27,3.11,0.2,1.72,0.4,8.94,0.33,0.28,1.57,1.78,11.84,1.98,1.93,1.63,2.7,1.58,3.53,2.05,1.07,0.41,0.42,2.48,1.04,0.36,0.82,0.33,5.78,1.14,1.35,2.22,1.44,0.54,3.01,10.47,1.15,10.09,1.25,4.89,4.03,1.11,0.76,0.13,0.34,0.34,0.37,2.39,1.33,0.57,0.28,0.18,0.04,38.88,5.05,2.61,0.14,0.3,1.18,0.3,0.52,0.55,2.91,0.36,24.95
